prices,address,no_beds,baths,sqft,prices_scale,sqft_scale,predict,diff,Deal
214000, 215 Emerson St NW #202 Washington DC 20011 ,1,1,700,2.14,0.7,117724.1802,-96275.81978,Bad Deal
795000, 61 N St NW #1 Washington DC 20001 ,3,3,1583,7.95,1.583,693346.0712,-101653.9288,Bad Deal
749000, 1013 V St NW #2 Washington DC 20001 ,2,3,1174,7.49,1.174,643697.7863,-105302.2137,Bad Deal
229900, 5208 F St SE APT 1 Washington DC 20019 ,2,2,833,2.299,0.833,121866.9415,-108033.0585,Bad Deal
799000, 1454 Belmont St NW APT 16 Washington DC 20009 ,1,2,1096,7.99,1.096,690127.9926,-108872.0074,Bad Deal
405000, 1121 Varney St SE Washington DC 20032 ,3,2,1376,4.05,1.376,294729.4235,-110270.5765,Bad Deal
690000, 502 Oglethorpe St NW Washington DC 20011 ,4,3,1810,6.9,1.81,575643.7778,-114356.2222,Bad Deal
745000, 2700 Virginia Ave NW #1010 Washington DC 20037 ,2,2,1375,7.45,1.375,620240.1638,-124759.8362,Bad Deal
352500, 1717 28th Pl SE #B Washington DC 20020 ,3,2,1300,3.525,1.3,224846.7445,-127653.2555,Bad Deal
352500, 1719 28th Pl SE #B Washington DC 20020 ,3,2,1300,3.525,1.3,224846.7445,-127653.2555,Bad Deal
450000, 326 Raleigh St SE Washington DC 20032 ,4,3,1530,4.5,1.53,318181.6578,-131818.3422,Bad Deal
609900, 312 Gallatin St NW Washington DC 20011 ,3,2,1575,6.099,1.575,477711.4391,-132188.5609,Bad Deal
769000, 251 G St SW #113 Washington DC 20024 ,3,3,1513,7.69,1.513,628980.5889,-140019.4111,Bad Deal
95009, 3701 13th St NW APT 1 Washington DC 20010 ,1,1,518,0.95009,0.518,-49626.23119,-144635.2312,Bad Deal
290000, 317 Atlantic St SE Washington DC 20032 ,2,1,1080,2.9,1.08,140706.8729,-149293.1271,Bad Deal
221999, 1301 Delaware Ave SW APT N823 Washington DC 20024 ,1,1,650,2.21999,0.65,71748.7812,-150250.2188,Bad Deal
1100000, 2503 Chain Bridge Rd NW Washington DC 20016 ,3,3,1860,11,1.86,948049.736,-151950.264,Bad Deal
124900, 2100 Fendall St SE UNIT 1 Washington DC 20020 ,2,1,895,1.249,0.895,-29402.20833,-154302.2083,Bad Deal
559500, 1718 29th St SE Washington DC 20020 ,3,2,1489,5.595,1.489,398633.7185,-160866.2815,Bad Deal
167000, 5014 H St SE APT 101 Washington DC 20019 ,1,1,575,1.67,0.575,2785.730362,-164214.2696,Bad Deal
1350000, 637 C St NE Washington DC 20002 ,3,4,1890,13.5,1.89,1183913.612,-166086.3876,Bad Deal
850000, 1111 Oates St NE Washington DC 20002 ,4,4,1700,8.5,1.7,682776.6895,-167223.3105,Bad Deal
379900, 5011 Benning Rd SE Washington DC 20019 ,3,2,1280,3.799,1.28,206456.5659,-173443.4341,Bad Deal
299500, 1219 Holbrook Ter NE APT 3 Washington DC 20002 ,1,1,708,2.995,0.708,125080.2517,-174419.7483,Bad Deal
805000, 1124 Geranium St NW Washington DC 20012 ,4,3,1865,8.05,1.865,626216.9361,-178783.0639,Bad Deal
320000, 1311 Delaware Ave SW APT S737 Washington DC 20024 ,2,2,850,3.2,0.85,137498.5695,-182501.4305,Bad Deal
344000, 3900 Tunlaw Rd NW APT 304 Washington DC 20007 ,2,1,1100,3.44,1.1,159096.9563,-184903.0437,Bad Deal
1895000, 524 8th St NE Washington DC 20002 ,5,5,2945,18.95,2.945,1709412.193,-185587.8067,Bad Deal
369900, 46 58th St SE Washington DC 20019 ,2,2,900,3.699,0.9,183473.9685,-186426.0315,Bad Deal
899000, 2420 Chain Bridge Rd NW Washington DC 20016 ,2,2,1472,8.99,1.472,709432.5542,-189567.4458,Bad Deal
349900, 700 7th St SW APT 422 Washington DC 20024 ,1,1,744,3.499,0.744,158182.5733,-191717.4267,Bad Deal
429500, 4025 Martin Luther King Jr Ave SW Washington DC 20032 ,3,2,1312,4.295,1.312,235880.8517,-193619.1483,Bad Deal
400000, 6425 14th St NW UNIT 305 Washington DC 20012 ,2,2,924,4,0.924,205542.1829,-194457.8171,Bad Deal
449500, 2249 14th St SE Washington DC 20020 ,3,1,1558,4.495,1.558,253801.2028,-195698.7972,Bad Deal
600000, 1523 Park Rd NW APT 102 Washington DC 20010 ,3,3,1261,6,1.261,397264.5283,-202735.4717,Bad Deal
889000, 1652 Beekman Pl NW APT C Washington DC 20009 ,2,3,1210,8.89,1.21,676800.108,-212199.892,Bad Deal
799000, 1454 Belmont St NW #16 Washington DC 20009 ,1,1.5,1096,7.99,1.096,585988.6646,-213011.3354,Bad Deal
499000, 1229 12th St NW APT B1 Washington DC 20005 ,2,2,1004,4.99,1.004,279102.7069,-219897.2931,Bad Deal
749900, 3930 Connecticut Ave NW APT 501H Washington DC 20008 ,3,2,1630,7.499,1.63,528284.4067,-221615.5933,Bad Deal
699999, 1910 W Virginia Ave NE #2 Washington DC 20002 ,3,3,1349,6.99999,1.349,478181.2191,-221817.7809,Bad Deal
800000, 1100 W St NW #1 Washington DC 20009 ,2,3,1100,8,1.1,575654.1729,-224345.8271,Bad Deal
415000, 1957 Calvert St NW APT C Washington DC 20009 ,1,1,774,4.15,0.774,185767.7937,-229232.2063,Bad Deal
699000, 2717 Ontario Rd NW #1 Washington DC 20009 ,2,2,1209,6.99,1.209,467601.9192,-231398.0808,Bad Deal
1299999, 3919 Fulton St NW PENTHOUSE 5 Washington DC 20007 ,3,4,1764,12.99999,1.764,1068055.725,-231943.2749,Bad Deal
714900, 1080 Wisconsin Ave NW APT 2005 Washington DC 20007 ,2,2,1225,7.149,1.225,482314.0621,-232585.9379,Bad Deal
825000, 904 Butternut St NW Washington DC 20012 ,5,3,2183,8.25,2.183,592190.0272,-232809.9728,Bad Deal
435000, 1222 Congress St SE Washington DC 20032 ,3,2,1275,4.35,1.275,201858.9973,-233141.0027,Bad Deal
269000, 411 Mellon St SE APT 2 Washington DC 20032 ,2,2,737,2.69,0.737,33594.17915,-235405.8208,Bad Deal
599000, 702 Faraday Pl NE Washington DC 20017 ,3,3,1223,5.99,1.223,362323.2365,-236676.7635,Bad Deal
309500, 1601 18th St NW APT 206 Washington DC 20009 ,1,1,651,3.095,0.651,72668.31398,-236831.686,Bad Deal
437900, 1637 A St NE APT 1 Washington DC 20002 ,2,2,916,4.379,0.916,198186.1115,-239713.8885,Bad Deal
310000, 4912 New Hampshire Ave NW #E-202 Washington DC 20011 ,2,1,1000,3.1,1,67146.15822,-242853.8418,Bad Deal
395000, 1654 K St NE #2 Washington DC 20002 ,2,2,862,3.95,0.862,148532.6767,-246467.3233,Bad Deal
399900, 412 19th St NE APT 102 Washington DC 20002 ,2,2,867,3.999,0.867,153130.1975,-246769.8025,Bad Deal
579000, 1354 Kenyon St NW APT G Washington DC 20010 ,2,2,1061,5.79,1.061,331514.74,-247485.26,Bad Deal
349900, 1 Scott Cir NW #601 Washington DC 20036 ,1,1,682,3.499,0.682,101173.0671,-248726.9329,Bad Deal
510000, 4296 Southern Ave SE Washington DC 20019 ,7,4,2304,5.1,2.304,258868.0744,-251131.9256,Bad Deal
420000, 2641 Bowen Rd SE UNIT B Washington DC 20020 ,4,2,1594,4.2,1.594,168751.5736,-251248.4264,Bad Deal
299800, 1371 Bryant St NE APT 2 Washington DC 20018 ,2,2,750,2.998,0.75,45547.77145,-254252.2285,Bad Deal
1699000, 1454 Belmont St NW APT 15 Washington DC 20009 ,2,3,2044,16.99,2.044,1443669.701,-255330.2994,Bad Deal
1429000, 1831 Vermont Ave NW Washington DC 20001 ,3,4,1878,14.29,1.878,1172879.601,-256120.3995,Bad Deal
499000, 2717 Ontario Rd NW #2 Washington DC 20009 ,3,2,1316,4.99,1.316,239558.8875,-259441.1125,Bad Deal
645000, 127 Longfellow St NW Washington DC 20011 ,4,2,1824,6.45,1.824,380238.4853,-264761.5147,Bad Deal
185000, 1625 Gainesville St SE APT 101 Washington DC 20020 ,2,1,839,1.85,0.839,-80894.66095,-265894.6609,Bad Deal
399900, 1011 18th St NE APT 2 Washington DC 20002 ,2,2,845,3.999,0.845,132901.0487,-266998.9513,Bad Deal
445000, 3934 10th St NE APT 1 Washington DC 20017 ,2,2,890,4.45,0.89,174278.8315,-270721.1685,Bad Deal
389000, 2801 Adams Mill Rd NW APT 210 Washington DC 20009 ,1,1,700,3.89,0.7,117724.1802,-271275.8198,Bad Deal
975000, 1322 E St NE Washington DC 20002 ,3,3,1594,9.75,1.594,703460.6457,-271539.3543,Bad Deal
380000, 2500 Q St NW APT 519 Washington DC 20007 ,1,1,688,3.8,0.688,106690.1684,-273309.8316,Bad Deal
350000, 713 Croissant Pl SE Washington DC 20019 ,3,1,1362,3.5,1.362,73577.64244,-276422.3576,Bad Deal
675000, 2247 12th St NW UNIT 1 Washington DC 20009 ,2,2,1130,6.75,1.13,394960.7372,-280039.2628,Bad Deal
435000, 5516 14th St NW #1 Washington DC 20011 ,2,2,867,4.35,0.867,153130.1975,-281869.8025,Bad Deal
899900, 916 15th St SE Washington DC 20003 ,3,3,1500,8.999,1.5,617026.9489,-282873.0511,Bad Deal
619990, 907 Columbia Rd NW Washington DC 20001 ,3,2,1422,6.1999,1.422,337026.7868,-282963.2132,Bad Deal
624999, 1910 W Virginia Ave NE #1 Washington DC 20002 ,3,3,1200,6.24999,1.2,341174.5548,-283824.4452,Bad Deal
659000, 301 G St NE APT 3 Washington DC 20002 ,2,2,1107,6.59,1.107,373812.1033,-285187.8967,Bad Deal
449900, 1725 17th St NW APT 316 Washington DC 20009 ,1,1,750,4.499,0.75,163699.5792,-286200.4208,Bad Deal
495000, 333 N St SW #333 Washington DC 20024 ,2,1,1154,4.95,1.154,208750.391,-286249.609,Bad Deal
939000, 121 R St NW Washington DC 20001 ,4,3,1893,9.39,1.893,651963.0909,-287036.9091,Bad Deal
129900, 4729 1st St SW APT 203 Washington DC 20032 ,2,1,756,1.299,0.756,-157213.7833,-287113.7833,Bad Deal
600000, 1514 17th St NW APT 207 Washington DC 20036 ,2,1,1265,6,1.265,310815.7635,-289184.2365,Bad Deal
289000, 2651 Birney Pl SE #SE-302 Washington DC 20020 ,3,2,1054,2.89,1.054,-1352.214813,-290352.2148,Bad Deal
579000, 2301 Champlain St NW APT T02 Washington DC 20009 ,2,2,1014,5.79,1.014,288297.9393,-290702.0607,Bad Deal
277000, 429 N St SW #609 Washington Navy Yard DC 20374 ,1,1,554,2.77,0.554,-16523.95725,-293523.9573,Bad Deal
689900, 5230 Georgia Ave NW #402 Washington DC 20011 ,3,3,1260,6.899,1.26,396344.9955,-293555.0045,Bad Deal
